content,score
Sangat memuaskan,5
Luar biasa,5
jelek belum apa apa kena spam,1
Gk bisa masuk login pdhl udh ganti nomer baru,1
apk ini sangat berguna,5
Good,5
Dari saya bagus semua ( *__*),5
sangat membantu,5
"Bagus sih, tapi lodinya lama",3
Good,5
Karsimnoa,5
kenapa kok setiap video call videonya ngelek padahal sinyalnya full / baguss,2
"Semoga d perbaiki,,klw bkin story kualitas gambar/vidio berkurang.trima kasih",4
I don't now why i give 5 Star,5
🤔,5
Bagus,5
aplikasi sangat tidak bermanfaat. saya ngechat cewe malah diblok. mohon perbiki bug ini,1
"gilaa sii skrng udh makin canggih aj,dan ada fitur baru ny lohh.kyk bs ganti warna chat/pesan di wa gtuu,duhh pokok ny bagus buangett dehh",5
Bgus,5
saya puas sekali,5
Ok,5
Not bad,5
Sangat keren,5
masalah kode,4
sudah 1-2 bulan terakhir whatsapp ada masalah pada bug suara notifikasi pesan yang sering tidak berbunyi ketika ada pesan masuk. apa ada yg sama?,1
Kok punya saya belum ada meta AI nya ya,3
"wa saya di blok karena spam terus, capek deh",1
Sangat membantu,5
Kereeeen,5
Apl gak bisa ke buka,2
keren dramanya,5
Manfaat,5
Whatsapp sangat membantu saya saya senang sekali,5
saya masih belum dapat meta ai di WhatsApp saya,1
Bagus langsung download aja WhatsApp Messenger ini,5
Kampus IIP,5
baik,5
Bagus,5
Whatsapp knp ini koq gk bisa bwt vc atau pun bwt tlfn,1
Agak lambat,3
"Tolong diperbaiki, sudah 3x isi riwayat chat saya hilang!",1
Ok,5
Enak dipakai,5
Bagussssss,5
"Cukup bagus ,tapi fitur filter di kamera tidak muncul padahal sudah di update",3
Buat story di Android malah pilih hd setelah di Storykan malah Ngebadut fotonya Pecah noise bngt hadehhh bingung gua sama ni wa makin gak Nyaman makenya🙄🗿,1
baguss sekalii wakk,4
update telat.,1
vidio call kayak hujan deras,1
Good,5
semakin bagus,5
Kembalikan lagi icon LENSA. Ketika mgescrol chat ke bawah..utk cari kontak harus scroll lagi ke atas. Kurang efektif,1
Bagusss,5
Knp gak bisa,5
Aplikasi ini sangat membantu dan sangat bagus,5
saya mohon balikin no w.a saya min saya mohon min,5
Whaatsapp nya bgs sih,5
apa kesalahan hp saya tolong benarkan,5
"Bantu tetapkan WhatsAppMessenjer aman jaga Profesional dan aktifkan warsab APP INI, NORMALKAN",5
Tambah fitur mengirim pesan bisa setting waktu terkirimnya,5
saya sangat senang dengan adanya program ini. semoga bermanfaat untuk orang banyak,5
Gud,5
Hilangkan menu saluran. Menu status berubah seperti instagram ini bikin kesel dan ga bisa dipulihkan sprti awal pula,1
Alkhamdulillah...,5
Apa ini cok mau up sw kaga bisa mulu,1
Bug,1
good,5
ok,5
tolong hapus filtur foto 1 kali lihat dong,1
Membantu bisnis jadi mudah,5
Good,5
Kekurangan WhatsApp dari dulu hingga sekarang hanyalah compress video di story.,2
sangat bagus dan mmbantu,5
nagus,5
Cukup 3 star. Duluuu. Oke,3
Sangat bagus,5
Ok,5
jelek,1
Tiba² ilang bg,5
Sangat membantu sekali,5
Kirim foto delay versi terbaru,1
pendingan,3
tolong munculin tombol like story,2
Okey bnget,5
Mntap,4
Aplikasinya bagus saya sangat memuaskan,5
semua fitur bagusss,5
kebanyakan update,2
tidak melakukan spam kena laporan spam sampai gabisa dibuka aneh,1
Selalu gangguan😭😭,5
Tulisan di perkecìl.,5
Gak bisa di update jadi ketinggalan jaman,4
sangat praktis dan mudah dihapus jika penuh.,5
"Percuma pakai hp kamera bagus, tapi saat upload story video nya pecah2 please dong update biar foto dan video di SW bisa jernih sesuai Aslinya",3
Siip bagis,5
Makin kesini makin kesono,1
pliss mau bikin WA berwarna pink,5
setiap wa updete ketingalan terus,5
bagus untuk ngobrol dan gausah kerumah dia tinggal langsung wa aj,5
Sangat bagus untuk kemudahan komunikasi,5
Cakep,1
Saya sangat menyukai WhatsApp,5
Kenapa sih WhatsApp ngekenen akun saya Mulu pdhal saya ga melakukan spam sama sekali mohon diperbaiki dan sebelum kenen pikir pikir dulu wa ini penting buat ngechat orang terdekat ya wa udh ngada ngada,1
tidak ada saluran,2
Ok,4
Sumpah bagus bgt gak kalah sama pake pesan tapi fiturnya banyak bgt,5
Sangat bagus,5
Bagus dn ok,5
Saya senang melihat akun ini selalu berbagi untuk org yg kesusahan,5
Kok kadaluarsa trus,5
Mantap,5
"Saya pingin aplikasi whatsApp yg resmi,,,,karena whatsApp saya bermasalah",1
Sangat bagus,5
Kenapa akun whatsapp saya selalu di spam terus padahal tidak melanggar aturan apa pun,4
WhatsApp kenapa gak bisa muncul wa,5
keren,5
l E L Llll k,3
Udah diupdate tapi masih ga muncul fitur musik nya,1
semoga WhatsApp makin canggih dan aman,5
Makin mantep aja,5
"tolonglah perbaiki masalah tautan WhatsApp keriset semdiri, saya sangat kecewa dengan tragedi yang sering terjadi ini.",1
mantap,5
bagus,5
"habis update kok nama kontak gak sinkron, capek2 cari nama siapa krn di aplikasi tdk sinkron namanya dengan nama kontak telepon. kecewa update maret awal 2025 ini",3
"Tingkatkan terus pelayanan, jaga privasi pengguna,",5
tolong akun WhatsApp. dibuka terimakasih,5
mana meta ainya,1
Seruuu,5
Ini bagus banget sihhh,5
Sangat suka,5
baguuuud,5
"Maaf min klo lama, tpi makasih ya min dah ada fitur hd in fto/video, sesuai janji bintang 5",5
Ok,5
"min, ngadimin...!! gimana niih, malah gabisa buat story video, padahal sinyal lancar,",2
Top markotoppp,5
"Untuk wa cepat, untuk tlp juga cepat. Terimakasih",5
Mantap,5
Saya sangat mudah sekalian memberi imformasi,5
Hapus emot watu su🗿,1
setelah update banyak fitur menarik termasuk filter yang bisa dicoba saat video call tpi kok di hp saya tidak ada ya??,3
Sangat menyenangkan,5
Berkah selalu,5
bagus,5
makin di update makin ngawur masa saya tidak bisa memulihkan pencadangan chet saya,1
Ok,5
aplikasi paling bagus dan sangat membantu dalam berkomunikasi dengan teman..,5
gagah,5
"Whatshap sering update ( kadaluarsa),,apk sdh pada dicopot🤦,,",1
Aman aja,4
hrsny bisa ganti warna pinkk,2
"aplikasi yg bergunaa bgt dihidupku,bisa chattingan/telpon/vc sm temen,sama keluarga dll. aku harap di update an diselanjutnya bisa simpan sw orng lain, translate,bisa liat like story kita maupun org lain. and tysm for all",5
update ko malah foto² yang lama yang dikirim dari temen ke kita lewat wa pada ilang semua krain aku doang temen²ku juga sama apa banget dah ilang smua foto² jadwal penting terus kalo ngunduh gambar harus manual gabisa langsung ada di galeri update malah makin gimana gitu gimna dong ini????,1
aku waktu itu udh dowload WA tpi kok tiba-tiba jdi gk bisa?? knpa yaa coba di perbaiki lagi aku ini download lagi soalnya.,4
Bagus dan,5
Bagus cuman kadang terkendala di suara putus,4
terlalu banyak update versi......gunanya apa.....?,1
"Aneh aneh padahal ga ada nge spam chat ke siapa² tiba tiba nomer wa gua di blokir,adapakah dengan apk wa ini? Tolong lah di perbaiki weeh Sekian terimakasih",1
tolong hentikan manusia yang suka bug bug WA ampe keblokir saya ga suka lagi telponan di blokir bug gitu aj dan saya ga nerima kalo ini semua salah bot bug whasapp pokoknya saya mau nomor saya sudah tidak diblokir lagi karena bot bug whasapp,1
Manaf👍,5
"jangan update mulu napa si,memo gua ga cukup di update pun gatau fitur nya apaan aja,heh wa cewe gua foto nya ilang semua tuh",1
Sipp buat pelanggan,5
ga bisa update ke whatsapp beta.,2
Kenapa suka error' ga bisa ngirim foto sekali lewat -_-,1
FITUR HD PADA WA TOLONG LAH,3
Aplikasi ini sangat berguna tapi min meta AI saya belum muncul tolong munculin min terimakasih,5
Sangat bagus,5
Terimakasih informasinya,5
Bogamo NL Ulasan,5
ok,5
Lanjut kan aplikasi semua seperti semula dan temukan semua nomor yang ada di WhatsApp kami biar bisa terhubung kembali,5
Punya ku ga ada lope lope nya,5
Macingika,1
WhatsApp yg baru punya aku belum ada musik nya,5
K banyakan spam jelek,1
Bagus,5
Terbaik,5
Sangat bagus dan menbantu,5
bagus sekali,5
kok sering ngebug kalo ngirim pesan padahal jaringan full,1
"Suka banget sama whatsapp sekarang😍 makin kesini makin update, mana skarang udh ada song di story wa nya, jdi ga usah ribet edit² di capcut lagi💚💚 Tapi sayang, kualitas vidio di story wa nya masih pecah☹",4
Okee,5
benerin bug nya wouyy,5
Pernah sekolah lulusan S D di Banjarsari Jawa barat indoesia bisa tidak bisa,5
Mudah untuk komunikasi,5
bagus banget,5
"Ada bug yg saya alami pada saat uload story berupa video yg durasinya berapapun hasil uploadnya tetap terpotong hanya bagian ujungnya,mohon di perbaiki.",5
Oke,5
Sangat bagus,5
tolong tambahi emoji kta kta untuk saluran,4
"tiba"" gak bisa di pake",2
Sangat membantu,5
skrg jadi keren,5
ok,5
apk yang sangat bagus,5
meta ai di whatsaap saya blm muncul2 sampe skrng tolong lah,3
Saya tidak s**a whatsapp,5
semenjak di update jadii leggg,1
chatnya sering kehapus sendiri,1
males pakek wa,1
kok whatsApp ku gk ada meta ai nyaa,5
ko setiap bikin status suka nge-blur tulisan nya,5
WhatsApp tidak bisa dibuka dihp baru,2
Karna aplikasi ny bagus,5
Aplikasi Whatsapp di Handphone saya tidak ada fitur effect video,5
Saya sudah pakai WhatsApp resmi kenapa tidak bisa login ?,1
아주nice 👉🏻👈🏻👍🏻,5
Mantap,5
Gak bisa buble,1
bagus,5
Aman dan yaman Memakai wh yg lama,5
kenapa di HP saya masih belum ada fitur mention dan menambahkan lagu ya?,5
Hangat membantu,5
Sangat keren,5
Enak banget aplikasi nya,5
"kak??aku butuh bubble chat😕,aku mau ada meta ai ko belum dapet dapet yaa,,tapi apk nya udaa bener bener bagus banget cuma iri aja yang udah ada meta ai+Buble chat",5
b aja,5
Bgus TPI gak ada tempat like story,3
Kenapa sekarang tiba' kontak wa nya ga ada tersv,3
Sangat bagus,5
Sangat membantu sekali untuk percakapan yang real,5
bagusss,5
Mantap,5
"susah aplikasi ini ,udah di instal update masih error jk ada spam d blokir tolong beri tau apa itu spam, dn siapa yg sirik laporin spam2 itu, jngan langsung percaya lantas d blokir banyak orang2 sirik dn cemburu dlm bisnis ini, maen blokir aja baik nya wa dulu pemiliknya...!!! sebagai layanan yg baik harus mmberi penjelasan dn layanan dg baik juga....mksih gan....jd makin jelek",1
Up story nya burik anjingg,1
"Oke lah bagus tapi kenapa wa ku kudet yang lain ada fitur like dan sebagainya, kok di saya masih biasa sajaa apalah puqiiii",2
"sumpah nih apk skrng makin ga jelas, nomor baru beli udh di blokir alasannya ""nomor anda terdeteksi merugikan"" kan tolol",1
Tlong perbaiki bUG blank hitam saat ngirim foto,1
huh,5
Berguna dong,5
ok,5
kak kenpa saya tidak bisa login,3
keren,5
Tolong diperbaiki lagi karena pembaharuan status yang terbaru tidak berada diurutan paling atas...kok malah tidak beraturan sih..,2
"tolong dong jangan mirip kaya fb storynya, kurang suka, pusing liatnya,",3
whatsapp ni uda bagus banget banyak progress.. semoga bisa ngelive sih hahaha ngebantu buat kita yg mau jualan,5
"bagus, jadi lebih cepat komunikasinya, terus banyak fitur fitur yang keren, tapi sayangnya meta ai belum ada di seluruh pengguna whatsapp, walaupun katanya di negara tertentu aku masih aja gaada meta ai.",4
good job,5
"bug , erorr",1
😉,5
Bagus si bagus cuman kalo bikin status video di WA suka buram,3
Dengan whats up rahasia publik bisa di setel secara otomatis dan aman,5
Bagus,5
aplikasi nyaa bagus..bgusss bngett dehh pokoknyaa,5
Nomer saya di band di whatsap padahal saya tidakelakukna tindakan yang menyalah gunai,1
good,5
Ko gabisaa take video yaa? Gagal teruus katanyaa.,4
bagus,5
Sangat bagus n membantu,5
Saya Suda Menjawab dengan benar,4
Knpa wa ne ga bisa di tampil kan,1
Bagus,5
Sering Pembaruan,5
Suka eror ajg,1
Mantap,5
Knp WA saya keluar terus ap masalah nya baru 2 detik masuk WA keluar lagi,1
Bgus,5
bagus,5
"Kenapa nggk bisa masukan no more telepon,padahal Udah beneran masukan nya kode nya nggk terkirim juga,mana lama Lego fast burik",1
Semoga bisa membaca wa atau pesan orang,5
Cimol,1
Hengk Dim,5
Kenapa tidak bisa instal aplikasi,5
Terbaik,5
"Saya sudah ganti nomor, ganti HP tetap kena spam ... kenapa? Tolong pencerahannya",3
Good,5
Payah,4
Selalu kena spam kenapa ya,5
Bagus,5
ok,5
knp klau masuk kn story vidio buram,1
"min aku kasih bintang 4 dulu ya, nnti aku ksih bintang 5 klo ada fitur baru update nya dicepatin, disini aku udah lumutan saking lamanya nunggu updatean fitur WhatsApp terbaruu, terimakasih..",4
Bagus,5
👍🏼👍🏼,5
good,5
Baik,5
Ok,5
upload video ke status kok malah format tdk di dukung,5
baik,5
setiap mau ngechat selalu ada kata “akun ini tidak bisa lagi menggunakan whatsapp karena spam” ada yang spam aja ngga tolong dibenerin dong bug nya,2
Yes software koin menggunakan,1
Ini kenapa jadi bahada inggris sistemnya woi,1
"ud di update tp di WhatsApp tidak ad pembaruan,butuh penjelasan??",4
knpa meta ai belum muncul di hp saya?,1
Sangat baik aplikasi yang membuat syng bisa berkomunikasi dengan ayah dan ibu syng yang berada di manalu,5
Akun pribadi dikatakan spam dan menggunakan aplikasi whastapp ilegal padahal yang saya gunakan resmi dari pihak whatsapp,3
Saya tidak dapat menerima kode padahal udh nungguin ber hari hari gmnaa sihh,1
"Setiap mau kirim foto,saat milih foto yg mau dikirim sllu ada jeda yg ckup lama",2
Halo WhatsApp,5
saya slalu menggunakan whatshapp messenger,5
Meimei,5
Knp si setiap mo nelpon kontak yang ga di cht tuh ada laporan spam trus bikin kesel,2
Good👍,5
"kenapa bisa 4?ya karena huening kai belum chat gw dari beberapa tahun sih.whatsapp lakukan magic bisa huening kai chat aku, kalau udah chat auto aku kasih bintang 5😇🗿 woilah njir update mulu pntek",4
Bagus bangett,5
bagus,1
Teamo this one,5
Gaada yang chat gwejh,1
wa sekarang buat status tidak bisa padahal sinyal bagus buat ngirim foto lama terkirimnya kadang gagal padal kuota bru disi sinyal bagus,1
kenapa akun saya di spam bro,1
"Kebijakan apa tiba tiba wa disangka spam, tolong di perbaiki itu sistemnya",1
Video durasi panjang kok gi bisa yaa,3
Kok ga muncul filter pas vc dan di kamera wa ya,4
Suka,5
Bagus,5
terbaik,5
Aplikasi ini sangat diperbarui karena ada meta al,5
Sangat bgs,5
Cukup bagus .. kecuali hari Minggu suka jelek,5
wah bagus banget,1
Keren🔥,5
Ok,4
Ok,5
Ok lumayan bagus,5
bagus,5
Tolong dong msa di update jdi buram buat vc an,2
"Terdapat bug, langsung crash ketika komen status WA",4
Lov lov lov bgtt buat WhatsApp 🤍,5
Mudah-mudahan memperlancar jodoh😂,5
Bagus,5
Terbaik,5
Kenapa sy ga bsa gunakan WA di HP baru sy oppo a57... Sudah di hapus dan instal ulang tetap tdk bsa...,2
Karena sangat berguna,5
"Aku belum ada buble chat warna warni dan aku belum jadi whatsapp messenger(beta) tolong dong bisa in yok pliss, aku pengen jadi ga polos di kalian udh ada blom?",1
Bagus,5
"Kode whatsApp nya kok gk muncul padahal udah di download berkali""",1
Ni UU,4
Sangat membantu,5
Apk nya keren!!!! tapii kok di saya kalo update terbaru selalu ngga ada ya??,5
baik,5
Sangat membantu sekali dan sangat penting untuk komunikasi bos mksh amplikasinya.,5
ureung gasin,5
𝘈𝘱𝘭𝘪𝘬𝘢𝘴𝘪 𝘯𝘺𝘢 𝘣𝘢𝘨𝘶𝘴 𝘵𝘱 𝘢𝘨𝘢𝘬 𝘯𝘨𝘦𝘭𝘦𝘨 𝘺𝘢𝘢 𝘸𝘢𝘫𝘢𝘳 𝘴𝘪 𝘬𝘭𝘰 𝘯𝘨𝘦𝘭𝘦𝘨 𝘴𝘰𝘢𝘭𝘯𝘺𝘢 𝘨𝘬 𝘴𝘦𝘮𝘶𝘢 𝘯𝘺𝘢 𝘩𝘢𝘳𝘶𝘴 𝘧𝘦𝘳𝘧𝘦𝘬 𝘱𝘢𝘴𝘵𝘪 𝘢𝘥𝘢 𝘬𝘦𝘬𝘶𝘳𝘢𝘯𝘨𝘢𝘯 𝘥𝘪𝘵𝘢𝘮𝘣𝘢𝘩 𝘴𝘪𝘯𝘺𝘢𝘭 𝘏𝘗 𝘴𝘢𝘺𝘢 𝘫𝘦𝘭𝘦𝘬 𝘵𝘱 𝘰𝘬𝘦 𝘭𝘢𝘩 𝘺𝘨 𝘱𝘦𝘯𝘵𝘪𝘯𝘨 𝘮𝘢𝘴𝘪𝘩 𝘣𝘪𝘴𝘢 𝘥𝘪 𝘱𝘢𝘬𝘦 𝘥𝘢𝘯 𝘨𝘬 𝘫𝘦𝘭𝘦𝘬 𝘫𝘦𝘭𝘦𝘬 𝘢𝘮𝘢𝘵 𝘴𝘪 𝘴𝘪𝘯𝘺𝘢𝘭 𝘯𝘺𝘢 𝘴𝘦𝘴𝘶𝘢𝘪 𝘬𝘰𝘯𝘥𝘪𝘴𝘪 👍🏻,5
status vidio wa tiba2 eror,2
Penyesuaian berhasil baik.,1
Terjangkau,5
Ihb,5
"Story nya sekarang ke samping.. jujur kurang enak,dan sedikit ribet..",1
Q1 tapi kalo 9o,4
Bagus,5
Cakep 👍,5
Mantap,5
lucuukkk,5
Status wa jadi acak2an setelah update. Kembalikan seperti semula,1
kenapa whatsapp ku satpam whatsapp gk nulis ane2 aq mohon kebalikan kebali,2
Kenapa whatsapp ku gk bisa buat kunci chet?,3
oke,5
aplikasi nya sangat berguna tapi sayang nya saya selalu telat ke update padahal udah di aktifkan mode update nya,5
Kasih dua aj Solonya gk cewek,2
Ini lambat banget aku story kaya terganggu koneksi wa punya aku,5
Mempermudah hidup,5
"Suka lambat terkirim, telfon pun putus putus padahal jaringan bagus",1
sangat baguss,5
"Bagus² aja sih, no complaints lah",5
Kenapa nomer wa saya di tutup dengan tuduhan tindakan spam... Padhaal saya tidak melakukan spam atau apapun yang melanggar .,3
Kenapa fitur untuk ganti background nya saat vc di hilangin ...sangat di sayangkan,5
Sangat bagus,5
Mantap aplikasi ini,5
Bagus,5
Baik,5
"sangat membantu,lebih mudah berkomunikasi,transfer file,video call lebih baik ,dan chat2an jadi lebih baik",5
"Susah banget, bikin statusnya",2
Kok program betah sudah penuh,5
keren,1
Mantap,5
sagat puas,5
"tolong diperbaiki tentang ""format file tidak didukung"" pada hp² vivo seri lama",2
Ok,3
saya tidak ngapa-ngapain kok saya di tuduh spam sihhhhh🤬🤬,1
Ok,5
Bagus,5
petani,2
wa sekarang gampang bug,2
Bagus bet,5
Sangat puas,5
Sangat membantu,5
Ok,4
p w💖*z,5
Bagus,5
Baik pelayanannya... !!!,5
Ok,5
Knp whatsapp gak bisa di buka ketika di buka kembali ke Fitur WA,5
Whatsapp saya belum ada fitur meta Ai nya,5
Sgt bagus,3
Ok,5
Oke,5
GOOD JOB,5
"Ini sering g bisa nerima chat atau panggilan . Gara2 itu, ak kehilangan peluang interview kerja karena call WA dari perusahaan tsb tidak masuk ke WA saya.",1
kadang suka ilang chattan nya,1
"bagus, tapi tolong untuk yang hp Oppo update nya lebih cepat yaa",5
Bagus,5
sangat bagus,5
Siiiiiiiiip okey,5
"Sinyal bagu, Kuota banyak, tapi stiker dan foto aja cuma bulet kaya jam ga muter knpa ini",3
tdk bs di update secara otomatis....,1
Whatsap tidak bisa di gunakan,5
Pengalaman saya menggeluti di bidang masarakat dan setatus saya sebagai buruh sebagai bas bangunan,5
masih ada bug di saat mengetik terus di pencet tombol kembali bisa kembali tapi keybord tidak hilang,3
"Sangat membantu, mohon untuk terus optimalisasikan Meta AI agar lebih banyak membantu pekerjaan",5
Buruk sekarang ga ada apa2 tiba tiba kena blok berkali-kali sehari bisa 3x,1
Bagus sekali,2
bagus,5
Nahh gini kan baguss🗿,5
kalo ngirim psn ke saluran sll gabisa,4
Akun wa saya terkunci,2
Ok. Bagus sekali,5
woii bang masa wa gua kaga ada efeknya si padahal udh di update tapi masih aja kaga ada.,1
Luar biasa,5
Aslm,1
ok,5
kebanyakan chat bikin delay mohon lakukan sesuatu untuk itu semisal chat 1k per hari hp saya kentang dan saya off kan data 1 hari/ gaada kuota pas beli itu ngeleg parah jadi mohon di lakukan sesuatu tentang itu sisanya ok,4
Seru🤩,4
"Wa saya tiba² ada pemberitahuan update, pas update ngulang terus",5
bagus sekali,5
"Karna bisa chat tan sama bestie dan bisa buat stastus,, pokok nya whatsapp itu emang bagus banget👍",5
Apk rusak anj ngk bisa buat sw liat vidio aja ngk bisa,1
"Kenapa sekarang stiap tlp uda g bisa rekam layar ada suaranya,katanya privat tlg dong kasi dipngaturan aj biar bisa distel masing""🙏",3
Kenapa selalu perbarui terus tolong kasi tau,2
Mantap,5
mayan bguss nihh,4
WhatsApp saya tidak bisa di buka,5
ok,2
Sangat bagus,5
"Aplikasi ini sangat manfaat, namun sering spam dengan pemberitahuan yg kurang jelas",3
Nice,5
Semenjak ada sisipan pada aplikasi meta ai bikin lemot dan membagongkan cara hilangkan j7ga ndak jelas PAYAH...malah tambah jelek.,1
Aplikasi ini bagus dan nyaman,5
"Mohon admin, hilangkan virus virus yg tidak bisa memasuki WhatsApp nya,sangat meresahkan",1
Kenapa wa saya slalu saja terblokir nomornya katanya ada end to end nyatanya wa saya bisa terblokir berarlih mendaftarkan nomor saya ke nomor yang lain sih masak saya setiap hari harus ganti ganti nomor,2
Bagus,5
"sebenernya bagus untuk fiturnya,tapi sekarang kebanyakan ngebug kaya foto,video,dokumen sudah diunduh tapi ga muncul di galeri padahal penyimpanan masih aman ga penuh,tolong ditingkatkan soalnya ga sekali dua kali",5
Kenapa ngk Kya yg lain ada metanya,5
Allahuakbar,5
WhatsApp nya gila. Aku Gak ada melanggar yg aneh aneh kokk di spam.. baru mo daftar kartu baru beli. Kok akun di spam. Macam betol aja. GK rugi GK punya wa,1
good,5
"saya beri bintang satu saja sebab saya tidak puas dengan pelayanan developer WhatsApp, masa WhatsApp yang bertujuan untuk mengobrol dengan sesama keluarga harus di beri pelanggaran terus kemudian di beri dengan pelanggaran spam lagi kalau nggak mau chat yang banya hapus aja apk WhatsApp saya sangat kecewa sekali dengan pelayanan ini",1
Makasih whatsapp deng ini aku bisa menjamet hehe,5
.ebantu hubu nga keluwarga,4
Ok,5
"Aplikasi macam apa ini,mau privikasi ajja nunggu kode nya sampe berjamjam.",1
Mantap,5
Tolong adain arsip status 🙏🏼🙏🏼😇😇,5
"Kenapa update nya rusak,pas kirim foto malah blackscreen tolong lah di perbaiki mark",1
"Kemarin saat mau kirim foto tiba"" blank hitam, setelah di install ulang sekarang tiap klik sharelock di grup pas masuk ke maps malah muncul lokasi lain beda dari yg di klik di grup",1
meta ai,5
bgus,5
Berapa harganya,1
WhatsApp ini tdk ad like status ny,1
aandri Yanto,5
"aplikasi nya bagus, cmn ini wa aku lama sekali muncul bubble chat berwarna nya, hp teman aku udah muncul semua cmn aku yg belum, tolong dipercepat yaa pengen banget soalnya biar lucu kaya yg lainn jugaa..",4
apk nyaa sangat berguna,5
Bermanfaat,5
Sangat bagus,3
🤎😂er a@ $%_,2
Saya memakainya,5
sip ke blokir,5
Saya sangat senang menggunakan aplikasi ini sangat membantu saya,5
Mantaaab,4
Gudd,5
Mantap,5
Bagussss bange💖,5
Bagus ko,5
Mls bngt klo up status video mesti grafiknya lngsung berkurang drastis.,1
meta ai saya kok ga ada🥹,5
Kepada pihak WhatsApp tolong pulihkan nomor WhatsApp saya,5
"Mantap,👍👍",5
Jos,5
Updated terbaru malah menyamping,1
Whatsapp saya ada yang memakai tampa setujuan dari saya,5
bagus,5
Pas,5
Mantap,4
Pas lagi telfon tiba2 terputus sendiri padahal data atau wifi aman!!!,1
Diapos,5
Ok,5
setiap mau update pasti lama banget,3
bagus,5
Baru awal,1
Bug nya masih terlalu banyak,3
Kenapa wa saya enggak bisa lagi,5
makasih,5
Koq skrng ada iklan nya di wa,5
Saya sangat senang,1
bgus,5
"Kenapa setiap bikin status video. Videonya jadi burik, gambarnya pecah. Pokoknya ga like lah.. Not nice",1
oke,5
Wasap emang membatu,5
mantap,5
Karna bagus bisa laik statusnya orang tapi maaf aku hanya kasi bintang 4 karna tidak ada meta ai nya di aku,4
Udah ganti no ya kena spam lagi.tolong lah.kenapa kena spam terus akun saya...baru bikin langsung kena spam.jd males download WhatsApp,1
Sangqt membantu,5
WhatApp Messenger,5
Kek biasa,5
Setelah di-update berat sekali buat kirim foto aja loading tak nampa gambar,2
mantab,5
luarbiasa,5
"wa aku gak bisa versi terbaru, gk ada musik nya, padahal udh di update",2
Kelancaran komunikasi lancar xan kadang lelet,4
Bagus',3
Bagus,5
biarkan bintang yang berbicara,5
Kenapa wa aku tidak ada chat AI nya,3
aplikasi tidak resmi ga jelas,1
Whatsapp saya bermasalah kena spam,5
kenapa saya gag bisa taftat wa,1
Ribet makin ribet kecewa,1
Top,5
Bagus appnya,5
Good,5
Bagus,4
"Saya kasih bintang 3. Untuk status kualitas vidio atau gambar, tampilanya sangat tidak memuaskan. Tolong di perbaiki lagi",3
Bagus,5
baguss banget,5
Penyimpanan nya kok bisa besar banget ya. Bisa sampe belasan giga. Ga bisa dihapus penyimpanan nya??,3
gj ni tpi bgs,3
kenapa chat wa tidak bisa terkirim yah nanti di update lagi masalah chat pesan tidak bisa terkirim,5
Lebih canggih,4
aku jadi bisa berkomunikasi dengan teman ² dan keluarga,5
WhatsApp saya sering sekali kena spam,1
Bagus,5
Halo... Saya sudah update whatsapp tapi kalau kirim VN.. Gambar... Ke Whatsapp kok ilang ya. Kaya lagi ngeleg... Itu kenapa ya. Bisa kah membantu saya??,3
Whatsapp tolong lah perbaiki masalah ini perangkat saya sering bangat log out trus dari whatsapp padahal saya sudah mematuhi ketentuan whatsapp namun whatsapp saya tidak bisa di gunakan karna log out trus saya juga sudah mengaktifkan verifikasi dua langkah namun tetap seperti itu . Tolong dong whatsapp di perbaiki lagi masalah seperti ini. Merasa terganggu karna whatsapp saya log out terus saya juga sudah perbarui whatsapp versi terbaru namun masih seperti itu. Mohon lebih di tingkat kan,3
Oke,4
Apknya nambah bagus,5
Mas AnDrio Faisal fakih,1
Bagus sekali tidak ada bug sekali pun,5
Thank God,5
Saya tidak punya pengalaman,4
Baik,5
bukan nya malah bener di update mlh jdi error wa ku mlh jdi black screen,1
Very best,5
pilih kasih updatenya,1
Kontak tidak bisa tersimpan,5
Ok,5
"ada bug mulu dah pas buka pesan suara, langsung mati layarya sama pesan suaranya",2
Buruk,1
sᴀɴɢᴀᴛᴛᴛᴛᴛ ᴍᴇɴʏᴇɴᴀɴɢᴋᴀɴ ᴅᴇɴɢᴀɴ ᴀᴘʟɪᴋᴀsɪ ᴡʜᴀᴛsᴀᴘᴘ ɪɴɪ,5
"Bagus dan sangat membantu, tetapi tolong untuk kualitas video pada status diperbaiki lagi...terus kok sekarang ngeBug gak keliatan Online sama Terakhir dilihat ya, perbaiki lagi",2
well bye,5
Tolong watshap saya diperbaiki karna saya tidak bisa login,1
Orang nelpon tapi notifikasi nya enggak timbul,1
Bagus membantu,4
Mantap,5
Bagus,5
"wa makin lama makin ga jelas,kirim foto ke status jadi blur intinya makin jelek",1
sangat baik,5
ada bug notifikasi telepon,1
Semoga bermanfaat,5
Ok,5
"Ko pas vc di wa aku ga ada filternya sih, pdhl yg lain udh ada",4
Sangat membantu.,5
bagus wah ya bagus OMG bgus Iyah heem bgus bgus bgt,2
gada fitur musik😹😹,3
tolong dong bagus memosting pake lagu jelas jadi blur atau jelek tolong perbaiki yaa,4
👍,5
oke,5
Mantap,5
"Saya susah bgt buat update Sw pakai sound. udh di update apknya, tapi gagal aja keterangan nya",3
Blm ada update,4
"i have a problem. Saya udah hide beberapa orang dari snap whatsapp, tapi kenapa mereka masih bisa melihat bahkan reply whatsap saya?",1
sangat baik,3
Bagus,5
